Site,Location,Session,MSE,PSNR,NMI,SSIM,SoftwareVersion,Temperature
137-0009,St Thomas,2023-07-07 08_47_43,0.0023406246445032,34.05333424681054,1.476237327135972,0.9832134222002512,rc8.6.0,
137-0009,St Thomas,2023-07-07 08_47_43,0.0023406246445032,34.05333424681054,1.476237327135972,0.9832134222002512,rc8.6.0,
137-0009,St Thomas,2023-07-10 09_25_45,0.0023281695078347,33.993582063013925,1.4750339708956757,0.9830826188916528,rc8.6.0,
137-0009,St Thomas,2023-07-10 09_25_45,0.0023281695078347,33.993582063013925,1.4750339708956757,0.9830826188916528,rc8.6.0,
137-0009,St Thomas,2023-07-19 09_56_52,0.0026113320332528,34.5232644770353,1.485251299696242,0.9826302030436564,rc8.7.0_Beta1,
137-0009,St Thomas,2023-07-19 09_56_52,0.0026113320332528,34.5232644770353,1.485251299696242,0.9826302030436564,rc8.7.0_Beta1,
137-0009,St Thomas,2023-07-21 09_40_01,0.0024900628642896,34.567808089135376,1.4864889208233882,0.9840056101698488,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-21 09_40_01,0.0024900628642896,34.567808089135376,1.4864889208233882,0.9840056101698488,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-24 12_50_55,0.0024612650927467,35.01700072052288,1.4924033036420858,0.9835827108153816,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-24 12_50_55,0.0024612650927467,35.01700072052288,1.4924033036420858,0.9835827108153816,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-25 09_43_14,0.0024401837268019,34.62418960834607,1.4877931837419862,0.9835563666318244,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-25 09_43_14,0.0024401837268019,34.62418960834607,1.4877931837419862,0.9835563666318244,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-26 09_34_00,0.0023581614474305,34.917568009354284,1.4920261368131462,0.9842056591095236,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-26 09_34_00,0.0023581614474305,34.917568009354284,1.4920261368131462,0.9842056591095236,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-27 15_15_03,0.0024504657976106,34.684022822514834,1.4884495796686696,0.9834648962581458,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-27 15_15_03,0.0024504657976106,34.684022822514834,1.4884495796686696,0.9834648962581458,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-07-31 13_18_16,0.0024561829845971,34.852833524902785,1.490786967965072,0.9836210411627374,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-07-31 13_18_16,0.0024561829845971,34.852833524902785,1.490786967965072,0.9836210411627374,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-08-07 15_01_55,0.0024900300216393,34.68669883955264,1.4885499102830737,0.9835672034607515,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-08-07 15_01_55,0.0024900300216393,34.68669883955264,1.4885499102830737,0.9835672034607515,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-08-09 09_33_10,0.0026622574753527,34.314306524390766,1.4817241632290097,0.982804116328284,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-08-09 09_33_10,0.0026622574753527,34.314306524390766,1.4817241632290097,0.982804116328284,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-09-05 09_35_27,0.0025712015480118,34.84791232886118,1.4892900842328962,0.9831316327828782,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-09-05 09_35_27,0.0025712015480118,34.84791232886118,1.4892900842328962,0.9831316327828782,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-09-07 09_28_41,0.002436399948128,34.804909966499544,1.489958728442026,0.9842089342671492,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-09-07 09_28_41,0.002436399948128,34.804909966499544,1.489958728442026,0.9842089342671492,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-09-11 16_14_44,0.0023711023991269,34.94773981489232,1.4925510571331502,0.9845337092087147,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-09-11 16_14_44,0.0023711023991269,34.94773981489232,1.4925510571331502,0.9845337092087147,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-09-12 09_20_18,0.0025632306179495,34.72394848529168,1.4879838252680118,0.9834585178658704,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-09-12 09_20_18,0.0025632306179495,34.72394848529168,1.4879838252680118,0.9834585178658704,rc8.7.0_Beta1,22.0
137-0009,St Thomas,2023-09-18 15_48_53,0.0023142797047494,35.18131115524727,1.4955695074286957,0.9850628017888788,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-09-18 15_48_53,0.0023142797047494,35.18131115524727,1.4955695074286957,0.9850628017888788,rc8.7.0_Beta1,21.0
137-0009,St Thomas,2023-10-03 16_20_58,0.0024630053977979,35.04745270061961,1.492383129829834,0.9840903708465418,rc8.7.0_Beta1,20.0
